time_period,predicted_demand
1,5119.5815
2,5151.0435
3,5379.0327
4,5517.9214
5,5648.85
6,5457.6567
7,5289.4683
8,5321.319
9,5369.3833
10,5465.208
11,5320.1772
12,5308.264
13,5209.595
14,5053.3115
15,5431.014
16,5605.974
17,5816.8247
18,5737.0864
19,5657.349
20,5608.1133
21,5587.3867
22,5674.336
23,5737.054
24,5652.321
25,5348.0645
26,5339.1333
27,5736.5557
28,6185.188
29,6089.9165
30,5863.474
31,5830.613
32,5832.314
33,5856.2856
34,5866.8135
35,5925.2993
36,5896.853
37,5565.5835
38,5644.0073
39,5960.7236
40,6203.5522
41,6159.5537
42,6090.378
43,6021.319
44,5979.4033
45,5958.121
46,5937.697
47,5925.0493
48,5899.2817
49,5590.38
50,5750.6143
51,6171.679
52,6298.6772
53,6387.4355
54,6427.109
55,6208.4214
56,6082.3833
57,6019.321
58,5968.058
59,5916.7954
60,5865.5312
61,5856.9946
62,5986.647
63,6118.634
64,6250.6196
65,6297.1533
66,6240.0063
67,6182.8584
68,6125.7104
69,6068.564
70,6011.4155
71,5954.268
72,5897.121
73,5948.416
74,6073.8364
75,6241.8135
76,6409.792
77,6515.1704
78,6470.6714
79,6426.1733
80,6381.676
81,6337.1763
82,6292.717
83,6248.2817
84,6251.402
85,6269.468
86,6289.6265
87,6309.7847
88,6329.943
89,6350.101
90,6370.26
91,6390.4185
92,6410.576
93,6430.7354
94,6450.894
95,6471.0522
96,6491.2104
97,6514.1543
98,6545.318
99,6576.482
100,6607.6455
101,6638.8096
102,6669.974
103,6701.1377
104,6732.3013
105,6763.465
106,6794.629
107,6825.793
108,6856.9565
109,6888.12
110,6919.284
111,6950.4478
112,6981.612
113,7012.7754
114,7035.6313
115,7044.678
116,7053.726
117,7062.773
118,7071.8193
119,7080.866
120,7089.9136
121,7098.9604
122,7109.9263
123,7129.2764
124,7150.2505
125,7171.2256
126,7192.2
127,7213.1743
128,7234.155
129,7255.141
130,7276.128
131,7297.115
132,7318.1924
133,7339.318
134,7360.443
135,7381.567
136,7402.692
137,7423.8164
138,7444.9404
139,7466.065
140,7487.191
141,7508.3135
142,7529.4395
143,7550.563
144,7571.688
145,7592.813
146,7613.9375
147,7635.062
148,7656.186
149,7677.311
150,7698.436
151,7719.56
152,7740.6846
153,7761.8096
154,7782.934
155,7804.0713
156,7832.4736
157,7863.0557
158,7893.6963
159,7924.336
160,7954.9746
161,7985.6143
162,8016.2534
163,8046.893
164,8077.532
165,8108.173
166,8138.812
167,8171.0317
168,8208.071
169,8247.447
170,8286.823
171,8326.198
172,8365.575
173,8404.952
174,8444.327
175,8483.703
176,8523.08
177,8562.456
178,8601.832
179,8641.209
180,8680.585
181,8719.961
182,8759.337
183,8798.714
184,8838.089
185,8877.466
186,8916.841
187,8956.218
188,8995.603
189,9035.001
190,9074.41
191,9113.822
192,9153.233
193,9192.6455
194,9232.058
195,9271.47
196,9310.88
197,9350.296
198,9389.714
199,9429.13
200,9468.548
201,9507.966
202,9547.384
203,9586.801
204,9626.218
205,9665.635
206,9705.054
207,9744.472
208,9783.887
209,9823.306
210,9862.723
211,9902.14
212,9941.558
213,9980.974
214,10020.394
215,10059.811
216,10099.228
217,10138.644
218,10178.062
219,10217.4795
220,10256.896
221,10296.315
222,10335.731
223,10375.15
224,10414.567
225,10453.984
226,10493.402
227,10532.819
228,10572.237
229,10611.66
230,10651.079
231,10690.5
232,10729.921
233,10769.341
234,10808.761
235,10848.184
236,10887.6045
237,10927.023
238,10966.445
239,11005.866
240,11045.286
